Step,Reward,F1
60448,120.7,0.1936
60453,120.7,0.1936
60458,120.7,0.1936
60463,120.7,0.1936
60469,120.7,0.1936
60475,120.7,0.1936
60481,120.7,0.1936
60487,120.7,0.1936
60493,120.7,0.1936
60499,120.7,0.1936
60505,120.7,0.1936
60511,120.7,0.1936
60517,120.7,0.1936
60523,120.7,0.1936
60529,120.7,0.1936
60535,120.7,0.1936
60541,120.7,0.1936
60547,120.7,0.1936
60553,120.7,0.1936
60558,120.7,0.1936
60564,120.7,0.1936
60570,120.7,0.1936
60576,120.7,0.1936
60582,120.7,0.1936
60588,120.7,0.1936
60594,120.7,0.1936
60599,120.7,0.1936
60605,120.7,0.1936
60611,120.7,0.1936
60617,120.7,0.1936
60623,120.7,0.1936
60630,120.7,0.1936
60636,120.7,0.1936
60642,120.7,0.1936
60648,120.7,0.1936
60653,120.7,0.1936
60659,120.7,0.1936
60665,120.7,0.1936
60671,120.7,0.1936
60676,120.7,0.1936
60682,120.7,0.1936
60688,120.7,0.1936
60694,120.7,0.1936
60700,120.7,0.1936
60706,120.7,0.1936
60712,120.7,0.1936
60718,120.7,0.1936
60724,120.7,0.1936
60730,120.7,0.1936
60736,120.7,0.1936
60742,120.7,0.1936
60748,120.7,0.1936
60754,120.7,0.1936
60760,120.7,0.1936
60766,120.7,0.1936
60772,120.7,0.1936
60778,120.7,0.1936
60784,120.7,0.1936
60790,120.7,0.1936
60795,120.7,0.1936
60801,120.7,0.1936
60807,120.7,0.1936
60813,120.7,0.1936
60819,120.7,0.1936
60824,120.7,0.1936
60830,120.7,0.1936
60836,120.7,0.1936
60842,120.7,0.1936
60848,120.7,0.1936
60854,120.7,0.1936
60860,120.7,0.1936
60866,120.7,0.1936
60872,120.7,0.1936
60878,120.7,0.1936
60884,120.7,0.1936
60890,120.7,0.1936
60896,120.7,0.1936
60902,120.7,0.1936
60908,120.7,0.1936
60914,120.7,0.1936
60920,120.7,0.1936
60926,120.7,0.1936
60931,120.7,0.1936
60937,120.7,0.1936
60943,120.7,0.1936
60949,120.7,0.1936
60955,120.7,0.1936
60961,120.7,0.1936
60966,120.7,0.1936
60972,120.7,0.1936
60978,120.7,0.1936
60984,120.7,0.1936
60990,120.7,0.1936
60996,120.7,0.1936
69997,119.8,0.3138
70001,119.8,0.3138
70007,119.8,0.3138
70013,119.8,0.3138
70019,119.8,0.3138
70025,119.8,0.3138
70030,119.8,0.3138
70036,119.8,0.3138
70042,119.8,0.3138
70047,119.8,0.3138
70053,119.8,0.3138
70058,119.8,0.3138
70064,119.8,0.3138
70070,119.8,0.3138
70076,119.8,0.3138
70082,119.8,0.3138
70087,119.8,0.3138
70093,119.8,0.3138
70099,119.8,0.3138
70105,119.8,0.3138
70111,119.8,0.3138
70117,119.8,0.3138
70122,119.8,0.3138
70127,119.8,0.3138
70132,119.8,0.3138
70137,119.8,0.3138
70143,119.8,0.3138
70148,119.8,0.3138
70154,119.8,0.3138
70160,119.8,0.3138
70166,119.8,0.3138
70171,119.8,0.3138
70177,119.8,0.3138
70183,119.8,0.3138
70189,119.8,0.3138
70195,119.8,0.3138
70201,119.8,0.3138
70207,119.8,0.3138
70213,119.8,0.3138
70219,119.8,0.3138
70225,119.8,0.3138
70231,119.8,0.3138
70237,119.8,0.3138
70243,119.8,0.3138
70249,119.8,0.3138
70255,119.8,0.3138
70261,119.8,0.3138
70267,119.8,0.3138
70273,119.8,0.3138
70278,119.8,0.3138
70284,119.8,0.3138
70290,119.8,0.3138
70296,119.8,0.3138
70302,119.8,0.3138
70308,119.8,0.3138
70314,119.8,0.3138
70319,119.8,0.3138
70325,119.8,0.3138
70331,119.8,0.3138
70337,119.8,0.3138
70343,119.8,0.3138
70349,119.8,0.3138
70355,119.8,0.3138
70361,119.8,0.3138
70367,119.8,0.3138
70373,119.8,0.3138
70379,119.8,0.3138
70384,119.8,0.3138
70389,119.8,0.3138
70395,119.8,0.3138
