Step,Reward,F1
10902,513.1,0.0239
10908,513.1,0.0239
10914,513.1,0.0239
10920,513.1,0.0239
10926,513.1,0.0239
10932,513.1,0.0239
10938,513.1,0.0239
10944,513.1,0.0239
10950,513.1,0.0239
10956,513.1,0.0239
10962,513.1,0.0239
10968,513.1,0.0239
10974,513.1,0.0239
10980,513.1,0.0239
10986,513.1,0.0239
10992,513.1,0.0239
10998,513.1,0.0239
19994,561.4,0.0239
20000,561.4,0.0239
20006,561.4,0.0239
20012,561.4,0.0239
20018,561.4,0.0239
20024,561.4,0.0239
20030,561.4,0.0239
20036,561.4,0.0239
20042,561.4,0.0239
20048,561.4,0.0239
20054,561.4,0.0239
20060,561.4,0.0239
20066,561.4,0.0239
20072,561.4,0.0239
20078,561.4,0.0239
20084,561.4,0.0239
20090,561.4,0.0239
20096,561.4,0.0239
20102,561.4,0.0239
20108,561.4,0.0239
20114,561.4,0.0239
20120,561.4,0.0239
20126,561.4,0.0239
20132,561.4,0.0239
20138,561.4,0.0239
20144,561.4,0.0239
20150,561.4,0.0239
20156,561.4,0.0239
20162,561.4,0.0239
20168,561.4,0.0239
20174,561.4,0.0239
20180,561.4,0.0239
20186,561.4,0.0239
20192,561.4,0.0239
20198,561.4,0.0239
20204,561.4,0.0239
20210,561.4,0.0239
20216,561.4,0.0239
20222,561.4,0.0239
20228,561.4,0.0239
20234,561.4,0.0239
20240,561.4,0.0239
20246,561.4,0.0239
20252,561.4,0.0239
20258,561.4,0.0239
20264,561.4,0.0239
20270,561.4,0.0239
20276,561.4,0.0239
20282,561.4,0.0239
20288,561.4,0.0239
20294,561.4,0.0239
20300,561.4,0.0239
20306,561.4,0.0239
20312,561.4,0.0239
20318,561.4,0.0239
20324,561.4,0.0239
20330,561.4,0.0239
20336,561.4,0.0239
20343,561.4,0.0239
20350,561.4,0.0239
20357,561.4,0.0239
20364,561.4,0.0239
20371,561.4,0.0239
20378,561.4,0.0239
20385,561.4,0.0239
20392,561.4,0.0239
20399,561.4,0.0239
20405,561.4,0.0239
20411,561.4,0.0239
20417,561.4,0.0239
20424,561.4,0.0239
20431,561.4,0.0239
20438,561.4,0.0239
20445,561.4,0.0239
20452,561.4,0.0239
20459,561.4,0.0239
20465,561.4,0.0239
20472,561.4,0.0239
20479,561.4,0.0239
20486,561.4,0.0239
20493,561.4,0.0239
20500,561.4,0.0239
20507,561.4,0.0239
20514,561.4,0.0239
20521,561.4,0.0239
20528,561.4,0.0239
20535,561.4,0.0239
20542,561.4,0.0239
20548,561.4,0.0239
20554,561.4,0.0239
20560,561.4,0.0239
20566,561.4,0.0239
20572,561.4,0.0239
20578,561.4,0.0239
20584,561.4,0.0239
20590,561.4,0.0239
20596,561.4,0.0239
