Step,Reward,F1
70503,423.3,0.1519
70509,423.3,0.1519
70516,423.3,0.1519
70522,423.3,0.1519
70529,423.3,0.1519
70536,423.3,0.1519
70543,423.3,0.1519
70550,423.3,0.1519
70557,423.3,0.1519
70564,423.3,0.1519
70571,423.3,0.1519
70578,423.3,0.1519
70585,423.3,0.1519
70592,423.3,0.1519
70599,423.3,0.1519
70606,423.3,0.1519
70613,423.3,0.1519
70620,423.3,0.1519
70627,423.3,0.1519
70633,423.3,0.1519
70640,423.3,0.1519
70647,423.3,0.1519
70654,423.3,0.1519
70661,423.3,0.1519
70668,423.3,0.1519
70675,423.3,0.1519
70682,423.3,0.1519
70689,423.3,0.1519
70696,423.3,0.1519
70703,423.3,0.1519
70710,423.3,0.1519
70717,423.3,0.1519
70724,423.3,0.1519
70731,423.3,0.1519
70738,423.3,0.1519
70745,423.3,0.1519
70752,423.3,0.1519
70759,423.3,0.1519
70766,423.3,0.1519
70773,423.3,0.1519
70780,423.3,0.1519
70787,423.3,0.1519
70793,423.3,0.1519
70800,423.3,0.1519
70807,423.3,0.1519
70814,423.3,0.1519
70821,423.3,0.1519
70828,423.3,0.1519
70835,423.3,0.1519
70842,423.3,0.1519
70849,423.3,0.1519
70856,423.3,0.1519
70863,423.3,0.1519
70870,423.3,0.1519
70877,423.3,0.1519
70884,423.3,0.1519
70891,423.3,0.1519
70898,423.3,0.1519
70905,423.3,0.1519
70912,423.3,0.1519
70919,423.3,0.1519
70926,423.3,0.1519
70933,423.3,0.1519
70940,423.3,0.1519
70947,423.3,0.1519
70954,423.3,0.1519
70961,423.3,0.1519
70968,423.3,0.1519
70975,423.3,0.1519
70982,423.3,0.1519
70989,423.3,0.1519
70995,423.3,0.1519
79999,442.5,0.2656
80005,442.5,0.2656
80012,442.5,0.2656
80019,442.5,0.2656
80026,442.5,0.2656
80033,442.5,0.2656
80040,442.5,0.2656
80047,442.5,0.2656
80053,442.5,0.2656
80059,442.5,0.2656
80066,442.5,0.2656
80073,442.5,0.2656
80080,442.5,0.2656
80087,442.5,0.2656
80094,442.5,0.2656
80101,442.5,0.2656
80108,442.5,0.2656
80114,442.5,0.2656
80120,442.5,0.2656
80127,442.5,0.2656
80134,442.5,0.2656
80141,442.5,0.2656
80148,442.5,0.2656
80155,442.5,0.2656
80162,442.5,0.2656
80169,442.5,0.2656
80176,442.5,0.2656
80183,442.5,0.2656
80190,442.5,0.2656
80197,442.5,0.2656
80204,442.5,0.2656
80211,442.5,0.2656
80218,442.5,0.2656
80225,442.5,0.2656
80232,442.5,0.2656
80239,442.5,0.2656
80246,442.5,0.2656
80253,442.5,0.2656
80260,442.5,0.2656
80267,442.5,0.2656
80274,442.5,0.2656
80281,442.5,0.2656
80288,442.5,0.2656
80295,442.5,0.2656
80302,442.5,0.2656
80309,442.5,0.2656
80316,442.5,0.2656
80323,442.5,0.2656
80330,442.5,0.2656
80336,442.5,0.2656
80343,442.5,0.2656
80350,442.5,0.2656
80357,442.5,0.2656
80364,442.5,0.2656
80371,442.5,0.2656
80378,442.5,0.2656
80385,442.5,0.2656
80392,442.5,0.2656
80399,442.5,0.2656
80406,442.5,0.2656
80413,442.5,0.2656
80420,442.5,0.2656
80427,442.5,0.2656
80434,442.5,0.2656
80441,442.5,0.2656
80448,442.5,0.2656
80455,442.5,0.2656
80462,442.5,0.2656
80469,442.5,0.2656
80476,442.5,0.2656
80482,442.5,0.2656
80488,442.5,0.2656
80495,442.5,0.2656
80502,442.5,0.2656
80509,442.5,0.2656
80516,442.5,0.2656
80523,442.5,0.2656
80530,442.5,0.2656
80537,442.5,0.2656
80544,442.5,0.2656
80551,442.5,0.2656
80558,442.5,0.2656
80565,442.5,0.2656
80572,442.5,0.2656
80579,442.5,0.2656
80586,442.5,0.2656
80593,442.5,0.2656
80600,442.5,0.2656
80606,442.5,0.2656
80612,442.5,0.2656
80619,442.5,0.2656
80626,442.5,0.2656
80633,442.5,0.2656
80640,442.5,0.2656
80647,442.5,0.2656
80654,442.5,0.2656
80661,442.5,0.2656
80668,442.5,0.2656
80675,442.5,0.2656
80682,442.5,0.2656
80689,442.5,0.2656
80696,442.5,0.2656
80703,442.5,0.2656
80710,442.5,0.2656
80717,442.5,0.2656
80724,442.5,0.2656
80731,442.5,0.2656
80738,442.5,0.2656
80744,442.5,0.2656
80751,442.5,0.2656
80758,442.5,0.2656
80765,442.5,0.2656
80772,442.5,0.2656
80779,442.5,0.2656
80786,442.5,0.2656
80793,442.5,0.2656
80800,442.5,0.2656
80807,442.5,0.2656
80814,442.5,0.2656
80821,442.5,0.2656
80828,442.5,0.2656
80835,442.5,0.2656
80842,442.5,0.2656
80849,442.5,0.2656
80856,442.5,0.2656
80863,442.5,0.2656
80870,442.5,0.2656
80877,442.5,0.2656
80884,442.5,0.2656
80891,442.5,0.2656
80898,442.5,0.2656
80905,442.5,0.2656
80912,442.5,0.2656
